Game_Date,Pitcher,line,odds,Predicted_K,edge,bet_recommendation,confidence,predicted_so,Pitcher_clean,Pitcher_fuzzy,Strikeouts,Result
2025-06-01,charlie morton,4.5,-148,0.6312291399646152,-3.8687708600353847,✅ Under,🔥🔥🔥🔥🔥,,charlie morton,charlie morton,7.0,Over
2025-06-01,chris paddack,4.5,-128,1.0164536025741484,-3.483546397425852,✅ Under,🔥🔥🔥🔥🔥,,chris paddack,chris paddack,10.0,Over
2025-06-01,garrett crochet,7.5,104,1.0245811409245895,-6.47541885907541,✅ Under,🔥🔥🔥🔥🔥,,garrett crochet,garrett crochet,12.0,Over
2025-06-01,kevin gausman,6.5,108,0.9937558621473904,-5.50624413785261,✅ Under,🔥🔥🔥🔥🔥,,kevin gausman,kevin gausman,7.0,Over
2025-06-01,kris bubic,5.5,-144,0.9937558621473904,-4.50624413785261,✅ Under,🔥🔥🔥🔥🔥,,kris bubic,kris bubic,9.0,Over
2025-06-01,ryan weathers,5.5,116,0.9629900930976574,-4.537009906902343,✅ Under,🔥🔥🔥🔥🔥,,ryan weathers,ryan weathers,7.0,Over
2025-06-01,taj bradley,4.5,-122,0.9937558621473904,-3.506244137852609,✅ Under,🔥🔥🔥🔥🔥,,taj bradley,taj bradley,10.0,Over
2025-05-27,andrew heaney,3.5,-127,1.5624088997168084,-1.937591100283192,✅ Under,🔥🔥🔥,,andrew heaney,andrew heaney,2.0,Over
2025-05-27,jack kochanowicz,3.5,-115,0.8475646551724138,-2.652435344827586,✅ Under,🔥🔥🔥🔥🔥,,jack kochanowicz,jack kochanowicz,5.0,Over
2025-05-27,randy vasquez,4.5,161,2.5608979885057472,-1.9391020114942528,✅ Under,🔥🔥🔥,,randy vasquez,randy vásquez,5.0,Over
2025-05-27,ryan weathers,4.5,128,2.262250169558078,-2.237749830441922,✅ Under,🔥🔥🔥🔥,,ryan weathers,ryan weathers,7.0,Over
2025-05-27,ryan yarbrough,3.5,-143,0.7946311219390304,-2.7053688780609697,✅ Under,🔥🔥🔥🔥🔥,,ryan yarbrough,ryan yarbrough,7.0,Over
2025-05-27,ryne nelson,4.5,100,0.82727480009995,-3.67272519990005,✅ Under,🔥🔥🔥🔥🔥,,ryne nelson,ryne nelson,4.0,Over
2025-05-28,zack wheeler,6.5,-135,2.475873357963876,-4.024126642036125,✅ Under,🔥🔥🔥🔥🔥,,zack wheeler,zack wheeler,8.0,Over
2025-05-28,zack wheeler,6.5,-141,2.475873357963876,-4.024126642036125,✅ Under,🔥🔥🔥🔥🔥,,zack wheeler,zack wheeler,8.0,Over
2025-05-30,jeffrey springs,4.5,152,3.375583502891412,-1.1244164971085882,✅ Under,🔥🔥,,jeffrey springs,jeffrey springs,6.0,Over
2025-05-31,bryan woo,5.5,-152,2.552564655172414,-2.947435344827586,✅ Under,🔥🔥🔥🔥🔥,,bryan woo,bryan woo,3.0,Over
2025-05-31,casey mize,3.5,-130,2.389206691297209,-1.110793308702791,✅ Under,🔥🔥,,casey mize,casey mize,6.0,Over
2025-05-31,framber valdez,5.5,-152,2.686875,-2.813125,✅ Under,🔥🔥🔥🔥🔥,,framber valdez,framber valdez,9.0,Over
2025-05-31,jake irvin,3.5,106,2.135342432950192,-1.364657567049809,✅ Under,🔥🔥,,jake irvin,jake irvin,0.0,Under
2025-05-31,max fried,4.5,-164,2.6158733579638755,-1.8841266420361245,✅ Under,🔥🔥🔥,,max fried,max fried,3.0,Over
2025-05-31,merrill kelly,4.5,-123,1.5966946140025229,-2.903305385997477,✅ Under,🔥🔥🔥🔥🔥,,merrill kelly,merrill kelly,6.0,Over
