Rk,Player,SO,Date,Age,Team,Unnamed: 6,Opp,Result,"App,Dec",IP,H,R,ER,UER,HR,BB,IBB,SO.1,HBP,BK,WP,BF,BR,Pos
40,Kevin Gausman,9,2025-05-21,34-135,TOR,,SDP,"W, 14-0","GS-7, W",7.0,3,0,0,0,0,0,0,9,0,1,0,24,3,P
41,MacKenzie Gore,9,2025-05-16,26-081,WSN,@,BAL,"W, 4-3",GS-4,3.2,10,2,2,0,0,2,0,9,0,0,0,23,12,P
42,MacKenzie Gore,9,2025-05-04,26-069,WSN,@,CIN,"W, 4-1",GS-5,5.0,4,1,1,0,1,4,0,9,0,0,0,22,8,P
43,MacKenzie Gore,9,2025-05-23,26-088,WSN,,SFG,"L, 0-4","GS-7, L",6.0,2,1,1,0,0,3,0,9,0,0,0,21,5,P
44,Grant Holmes,9,2025-05-02,29-041,ATL,,LAD,"L, 1-2","GS-7, L",6.0,4,2,2,0,1,2,0,9,0,0,1,23,6,P
45,Grant Holmes,9,2025-05-30,29-069,ATL,,BOS,"L, 1-5","GS-6, L",5.2,6,3,3,0,1,1,0,9,0,0,0,24,7,P
46,Zebby Matthews,9,2025-05-24,25-002,MIN,,KCR,"W, 5-4",GS-4,4.0,5,2,2,0,0,1,0,9,0,0,0,18,6,P
47,Dustin May,9,2025-05-27,27-263,LAD,@,CLE,"W, 9-5","GS-5, W",5.0,4,3,3,0,1,2,0,9,0,0,0,20,6,P
48,Luis Ortiz,9,2025-05-11,26-104,CLE,,PHI,"L, 0-3","GS-6, L",6.0,4,1,1,0,1,2,0,9,0,0,0,23,6,P
49,Cade Povich,9,2025-05-16,25-034,BAL,,WSN,"L, 3-4",GS-6,5.2,3,2,2,0,1,2,0,9,0,0,0,21,5,P
50,Cade Povich,9,2025-05-28,25-046,BAL,,STL,"L, 4-6","GS-5, L",4.2,8,5,5,0,1,3,0,9,0,0,1,24,11,P
51,Robbie Ray,9,2025-05-13,33-224,SFG,,ARI,"W, 10-6","GS-6, W",6.0,7,3,3,0,0,3,0,9,0,0,0,28,10,P
52,Joe Ryan,9,2025-05-16,28-345,MIN,@,MIL,"W, 3-0","GS-6, W",6.0,2,0,0,0,0,1,0,9,1,0,0,22,4,P
53,Paul Skenes,9,2025-05-18,22-354,PIT,@,PHI,"L, 0-1","CG(8), L",8.0,3,1,1,0,0,1,0,9,0,0,0,28,4,P
54,Framber Valdez,9,2025-05-30,31-192,HOU,,TBR,"W, 2-1","CG, W",9.0,3,1,1,0,1,1,0,9,0,0,1,29,4,P
55,Will Warren,9,2025-05-14,25-332,NYY,@,SEA,"W, 3-2",GS-5,5.0,4,2,2,0,0,1,0,9,1,0,0,21,6,P
56,Logan Webb,9,2025-05-10,28-173,SFG,@,MIN,"L, 1-2","GS-7, L",7.0,5,2,2,0,1,1,0,9,0,0,0,27,7,P
57,Zack Wheeler,9,2025-05-06,34-341,PHI,@,TBR,"W, 8-4","GS-7, W",7.0,4,2,2,0,1,0,0,9,0,0,0,24,4,P
58,Gavin Williams,9,2025-05-03,25-281,CLE,@,TOR,"W, 5-3",GS-4,4.0,7,2,2,0,1,5,0,9,0,0,1,23,13,P
59,Yoshinobu Yamamoto,9,2025-05-20,26-276,LAD,,ARI,"W, 4-3 (10)",GS-7,7.0,1,0,0,0,0,2,0,9,0,0,1,24,3,P
60,Andrew Abbott,8,2025-05-06,25-339,CIN,@,ATL,"L, 1-2 (10)",GS-5,5.0,4,0,0,0,0,0,0,8,0,0,0,19,4,P
61,Andrew Abbott,8,2025-05-30,25-363,CIN,@,CHC,"W, 6-2","GS-7, W",7.0,1,0,0,0,0,1,0,8,0,0,0,23,2,P
62,Sandy Alcantara,8,2025-05-11,29-246,MIA,@,CHW,"L, 2-4","GS-6, L",5.2,7,4,4,0,1,3,0,8,0,0,0,26,10,P
63,José Berríos,8,2025-05-01,30-339,TOR,,BOS,"W, 4-2",GS-7,6.2,7,2,2,0,0,1,0,8,0,0,0,27,8,P
64,Tanner Bibee,8,2025-05-22,26-078,CLE,@,DET,"W, 7-0","GS-7, W",7.0,3,0,0,0,0,1,0,8,0,0,0,25,4,P
65,Matthew Boyd,8,2025-05-17,34-104,CHC,,CHW,"W, 7-3","GS-6, W",6.0,4,3,3,0,2,0,0,8,0,0,0,22,4,P
66,Matthew Boyd,8,2025-05-28,34-115,CHC,,COL,"W, 2-1","GS-6, W",6.0,4,1,0,1,0,0,0,8,0,0,0,21,4,P
