Rk,Player,SO,Date,Age,Team,Unnamed: 6,Opp,Result,"App,Dec",IP,H,R,ER,UER,HR,BB,IBB,SO.1,HBP,BK,WP,BF,BR,Pos
169,Cal Quantrill,7,2025-05-30,30-109,MIA,,SFG,"L, 0-2","GS-5, L",5.0,8,2,2,0,1,1,0,7,1,0,0,24,10,P
170,Cole Ragans,7,2025-05-16,27-155,KCR,,STL,"L, 3-10","GS-6, L",5.0,5,4,4,0,0,0,0,7,0,0,1,20,5,P
171,Robbie Ray,7,2025-05-19,33-230,SFG,,KCR,"L, 1-3",GS-7,7.0,6,0,0,0,0,1,0,7,0,0,0,26,7,P
172,Robbie Ray,7,2025-05-25,33-236,SFG,@,WSN,"W, 3-2","GS-6, W",6.0,3,1,1,0,0,0,0,7,0,0,1,21,3,P
173,Landen Roupp,7,2025-05-28,26-260,SFG,@,DET,"L, 3-4","GS-5, L",4.0,5,4,1,3,0,2,0,7,1,0,0,21,9,P
174,Joe Ryan,7,2025-05-10,28-339,MIN,,SFG,"W, 2-1","GS-6, W",6.0,2,1,1,0,1,0,0,7,0,0,0,20,2,P
175,Cristopher Sánchez,7,2025-05-19,28-158,PHI,@,COL,"W, 9-3",GS-6,6.0,5,3,3,0,1,0,0,7,0,0,0,24,6,P
176,Kodai Senga,7,2025-05-13,32-103,NYM,,PIT,"W, 2-1",GS-6,5.2,5,1,0,1,0,2,0,7,0,0,1,25,8,P
177,Paul Skenes,7,2025-05-28,22-364,PIT,@,ARI,"W, 10-1","GS-7, W",6.2,4,0,0,0,0,0,0,7,1,0,0,26,6,P
178,AJ Smith-Shawver,7,2025-05-10,22-171,ATL,@,PIT,"W, 3-2 (11)",GS-6,5.2,5,1,1,0,0,2,0,7,0,0,0,24,7,P
179,Shane Smith,7,2025-05-10,25-036,CHW,,MIA,"L, 1-3",GS-6,6.0,4,0,0,0,0,0,0,7,0,0,2,21,4,P
180,Spencer Strider,7,2025-05-27,26-211,ATL,@,PHI,"L, 0-2","GS-5, L",4.2,1,1,1,0,0,4,0,7,1,0,0,20,6,P
181,Jameson Taillon,7,2025-05-14,33-177,CHC,,MIA,"L, 1-3","GS-6, L",6.0,4,3,3,0,3,0,0,7,0,0,0,22,4,P
182,Jameson Taillon,7,2025-05-26,33-189,CHC,,COL,"W, 3-1","GS-7, W",6.1,4,1,1,0,1,0,0,7,0,0,0,23,4,P
183,Framber Valdez,7,2025-05-13,31-175,HOU,,KCR,"W, 2-1",GS-8,8.0,6,1,1,0,0,1,0,7,1,0,0,29,8,P
184,Framber Valdez,7,2025-05-07,31-169,HOU,@,MIL,"W, 9-1","GS-7, W",7.0,3,1,1,0,1,2,0,7,0,0,0,25,5,P
185,Taijuan Walker,7,2025-05-07,32-267,PHI,@,TBR,"W, 7-0","7-GF, S",3.0,1,0,0,0,0,0,0,7,0,0,0,10,1,P
186,Will Warren,7,2025-05-09,25-327,NYY,@,ATH,"W, 10-2","GS-8, W",7.1,4,1,1,0,0,1,0,7,0,0,0,27,5,P
187,Will Warren,7,2025-05-25,25-343,NYY,@,COL,"W, 5-4",GS-4,4.0,2,2,2,0,0,2,0,7,0,0,1,16,4,P
188,Yoshinobu Yamamoto,7,2025-05-26,26-282,LAD,@,CLE,"W, 7-2","GS-6, W",6.0,3,2,2,0,0,2,0,7,0,0,1,23,6,P
189,Ryan Yarbrough,7,2025-05-26,33-146,NYY,@,LAA,"W, 5-1","GS-6, W",6.0,2,1,1,0,1,1,0,7,0,0,0,21,3,P
190,Sandy Alcantara,6,2025-05-23,29-258,MIA,@,LAA,"L, 4-7","GS-6, L",5.1,5,6,5,1,1,2,0,6,1,0,0,25,8,P
191,Logan Allen,6,2025-05-13,26-250,CLE,,MIL,"W, 2-0","GS-6, W",6.0,3,0,0,0,0,1,0,6,0,0,0,22,4,P
192,Chris Bassitt,6,2025-05-08,36-075,TOR,@,LAA,"W, 8-5","GS-7, W",6.0,8,5,4,1,2,1,0,6,0,0,0,29,11,P
193,Chris Bassitt,6,2025-05-14,36-081,TOR,,TBR,"W, 3-1",GS-6,5.2,7,1,1,0,0,2,0,6,0,0,0,25,9,P
194,Chris Bassitt,6,2025-05-20,36-087,TOR,,SDP,"W, 3-0","GS-6, W",6.0,4,0,0,0,0,1,0,6,0,0,0,23,5,P
195,Chris Bassitt,6,2025-05-30,36-097,TOR,,ATH,"W, 11-7","GS-5, W",5.0,7,5,5,0,2,2,0,6,1,0,0,23,10,P
196,Shane Baz,6,2025-05-13,25-330,TBR,@,TOR,"W, 11-9",GS-5,4.2,4,3,3,0,2,2,0,6,0,0,0,19,6,P
197,Osvaldo Bido,6,2025-05-09,29-203,ATH,,NYY,"L, 2-10","GS-6, L",5.1,8,4,3,1,2,2,0,6,0,0,0,26,10,P
198,Hayden Birdsong,6,2025-05-26,23-269,SFG,@,DET,"L, 1-3","GS-5, L",4.1,5,3,3,0,0,2,0,6,0,0,1,20,7,P
199,Ronel Blanco,6,2025-05-05,31-247,HOU,@,MIL,"L, 1-5","GS-6, L",6.0,7,3,3,0,1,2,0,6,0,0,0,26,9,P
200,Taj Bradley,6,2025-05-16,24-057,TBR,@,MIA,"L, 4-9","GS-4, L",4.0,6,5,5,0,0,3,0,6,1,0,0,22,10,P
