Rk,Team,Date,SO,Unnamed: 4,Opp,Result,IP,H,R,ER,UER,HR,BB,IBB,SO.1,HBP,BK,WP,BF,BR
1349,SDP,2025-04-07,6,@,ATH,W 5-4,9.0,10,4,4,0,2,2,0,6,0,0,0,38,12
1350,SEA,2025-05-28,6,,WSN,L 0-9,9.0,12,9,9,0,4,4,0,6,1,0,0,43,18
1351,SEA,2025-05-22,6,@,HOU,L 2-9,8.0,13,9,9,0,2,2,0,6,3,0,1,41,18
1352,SEA,2025-04-15,6,@,CIN,L 4-8,8.0,9,8,8,0,1,7,0,6,0,0,0,40,16
1353,SFG,2025-05-14,6,,ARI,L 7-8,9.0,13,8,8,0,3,6,0,6,1,0,1,45,20
1354,SFG,2025-05-01,6,,COL,L 3-4,9.0,8,4,4,0,1,2,0,6,0,0,0,36,11
1355,SFG,2025-04-30,6,@,SDP,L 3-5,8.0,10,5,5,0,1,4,0,6,0,0,0,36,14
1356,SFG,2025-04-22,6,,MIL,L 3-11,9.0,13,11,8,3,2,4,0,6,1,0,1,45,19
1357,SFG,2025-04-08,6,,CIN,L 0-1,9.0,8,1,1,0,0,1,0,6,0,0,0,34,9
1358,SFG,2025-04-06,6,,SEA,W 5-4,9.0,11,4,4,0,2,3,1,6,2,0,0,42,16
1359,STL,2025-05-18,6,@,KCR,L 1-2,8.0,9,2,2,0,0,2,1,6,1,0,1,35,12
1360,STL,2025-05-16,6,@,KCR,W 10-3,9.0,9,3,3,0,1,0,0,6,0,1,1,36,9
1361,STL,2025-05-04 (2),6,,NYM,W 5-4,9.0,10,4,4,0,0,5,0,6,1,0,0,41,16
1362,STL,2025-04-30 (1),6,@,CIN,W 6-0,9.0,3,0,0,0,0,2,0,6,1,0,0,33,6
1363,STL,2025-04-26,6,,MIL,W 6-5,9.0,10,5,5,0,1,3,0,6,1,0,0,40,14
1364,STL,2025-04-23,6,@,ATL,L 1-4,8.0,11,4,4,0,1,2,0,6,0,0,0,36,13
1365,STL,2025-04-21,6,@,ATL,L 6-7,8.0,8,7,7,0,2,5,0,6,0,0,0,35,13
1366,STL,2025-04-01,6,,LAA,L 7-9 (11),11.0,10,9,7,2,0,2,1,6,0,0,0,42,12
1367,TBR,2025-05-26,6,,MIN,W 7-2,9.0,5,2,2,0,1,0,0,6,1,0,0,31,6
1368,TBR,2025-05-17,6,@,MIA,W 4-0,9.0,6,0,0,0,0,0,0,6,0,0,0,33,6
1369,TBR,2025-04-26,6,@,SDP,W 4-1,9.0,5,1,1,0,0,3,0,6,0,0,0,32,8
1370,TEX,2025-05-24,6,@,CHW,L 5-10,8.0,13,10,4,6,2,8,0,6,0,0,0,48,23
1371,TEX,2025-05-20,6,@,NYY,L 2-5,8.0,9,5,5,0,2,3,0,6,0,0,0,34,12
1372,TEX,2025-05-16,6,,HOU,L 3-6,9.0,9,6,6,0,1,5,0,6,0,0,2,41,14
1373,TEX,2025-04-22,6,@,ATH,W 8-5,9.0,11,5,5,0,4,4,0,6,0,0,0,42,15
1374,TEX,2025-04-06,6,,TBR,W 4-3,9.0,7,3,3,0,0,2,0,6,0,0,2,35,9
1375,TOR,2025-05-26,6,@,TEX,W 2-1,9.0,5,1,1,0,1,0,0,6,0,0,0,32,5
1376,TOR,2025-05-18,6,,DET,L 2-3,9.0,11,3,3,0,0,3,0,6,1,0,0,40,15
1377,TOR,2025-05-06,6,@,LAA,L 3-8,8.0,9,8,8,0,3,3,0,6,0,0,0,36,12
1378,TOR,2025-05-04,6,,CLE,L 4-5,9.0,10,5,5,0,0,8,0,6,0,0,0,42,18
1379,TOR,2025-05-02,6,,CLE,W 5-3,9.0,9,3,3,0,2,1,0,6,1,0,0,38,11
1380,TOR,2025-04-25,6,@,NYY,W 4-2,9.0,10,2,2,0,0,4,0,6,1,0,0,40,15
1381,TOR,2025-04-23,6,@,HOU,L 1-3,8.0,13,3,3,0,1,1,0,6,0,0,0,37,14
1382,TOR,2025-04-12,6,@,BAL,L 4-5,8.0,4,5,3,2,2,2,0,6,1,0,1,31,8
1383,WSN,2025-04-22,6,,BAL,W 7-0,9.0,1,0,0,0,0,4,0,6,0,0,0,32,5
1384,WSN,2025-04-16,6,@,PIT,L 1-6,8.0,8,6,6,0,2,2,0,6,2,0,1,36,12
1385,WSN,2025-04-14,6,@,PIT,L 3-10,8.0,14,10,10,0,0,5,0,6,0,0,1,38,19
1386,WSN,2025-04-04,6,,ARI,L 4-6,9.0,11,6,6,0,2,2,0,6,0,0,0,39,13
1387,WSN,2025-04-02,6,@,TOR,L 2-4,8.0,10,4,3,1,1,2,0,6,1,0,0,37,13
1388,WSN,2025-03-30,6,,PHI,W 5-1,9.0,8,1,1,0,0,4,0,6,1,0,1,38,13
1389,LAA,2025-05-30,5,@,CLE,W 4-1,9.0,6,1,1,0,0,7,0,5,0,0,0,37,13
1390,LAA,2025-04-24,5,,PIT,W 4-3,9.0,9,3,3,0,2,1,0,5,0,0,0,37,10
1391,LAA,2025-04-17,5,@,TEX,L 3-5,8.0,11,5,5,0,2,1,1,5,1,0,0,35,13
1392,LAA,2025-04-16,5,@,TEX,L 1-3,8.0,11,3,3,0,0,2,0,5,0,0,0,36,15
1393,LAA,2025-04-10,5,@,TBR,W 11-1,9.0,6,1,1,0,0,3,0,5,0,0,0,32,9
1394,ARI,2025-05-26,5,,PIT,W 5-0,9.0,6,0,0,0,0,2,0,5,0,0,0,35,9
1395,ARI,2025-05-23,5,@,STL,L 3-4,8.0,4,4,4,0,0,4,1,5,1,0,0,31,9
1396,ARI,2025-04-26,5,,ATL,L 7-8 (10),10.0,9,8,7,1,3,6,0,5,0,0,2,44,15
1397,ARI,2025-03-28,5,,CHC,W 8-1,9.0,3,1,1,0,0,4,0,5,0,0,0,35,9
1398,ATL,2025-05-18,5,@,BOS,W 10-4,9.0,8,4,4,0,1,1,0,5,0,0,0,35,9
1399,ATL,2025-05-13,5,,WSN,W 5-2,9.0,5,2,2,0,1,2,0,5,0,0,0,34,7
1400,ATL,2025-04-23,5,,STL,W 4-1,9.0,7,1,1,0,0,4,0,5,0,0,1,37,11
1401,ATL,2025-04-15,5,@,TOR,L 3-6,8.0,6,6,6,0,2,3,0,5,0,0,1,34,9
1402,BAL,2025-05-24 (1),5,@,BOS,L 5-6 (10),9.1,7,6,4,2,3,3,0,5,0,0,0,38,10
1403,BAL,2025-04-27,5,@,DET,L 0-7,8.0,9,7,7,0,0,5,0,5,0,0,0,36,14
1404,BAL,2025-04-13,5,,TOR,L 6-7 (10),10.0,16,7,6,1,1,2,0,5,0,0,1,46,18
1405,BAL,2025-04-08,5,@,ARI,L 3-4,8.0,5,4,4,0,1,7,0,5,1,0,1,34,14
1406,BAL,2025-04-04,5,@,KCR,L 2-8,8.0,11,8,7,1,0,2,1,5,1,0,1,40,15
1407,BOS,2025-05-28,5,@,MIL,L 5-6 (10),9.1,8,6,3,3,1,5,1,5,0,0,0,43,14
1408,BOS,2025-05-25,5,,BAL,L 1-5,9.0,7,5,4,1,2,3,0,5,0,0,0,37,11
1409,BOS,2025-05-07,5,,TEX,W 6-4,9.0,8,4,3,1,2,3,0,5,1,0,1,40,13
1410,BOS,2025-04-22,5,,SEA,W 8-3,9.0,6,3,3,0,1,6,0,5,2,0,0,39,14
1411,BOS,2025-04-07,5,,TOR,L 2-6,9.0,13,6,6,0,0,5,0,5,0,0,1,44,19
1412,BOS,2025-03-30,5,@,TEX,L 2-3,8.0,6,3,3,0,2,0,0,5,0,0,0,30,6
1413,BOS,2025-03-29,5,@,TEX,L 3-4,8.0,8,4,4,0,1,1,0,5,2,0,0,34,11
1414,CHW,2025-05-19,5,,SEA,L 1-5,9.0,8,5,5,0,1,3,0,5,0,0,0,38,12
1415,CHW,2025-05-15,5,@,CIN,L 1-7,8.0,12,7,7,0,3,3,0,5,0,0,0,37,15
1416,CHW,2025-05-09,5,,MIA,W 6-2,9.0,7,2,2,0,1,5,0,5,1,0,0,40,13
1417,CHW,2025-04-06,5,@,DET,L 3-4,8.1,7,4,4,0,0,8,0,5,0,0,0,39,15
1418,CIN,2025-05-28,5,@,KCR,L 2-3,8.0,8,3,3,0,0,4,0,5,0,0,1,34,12
1419,CIN,2025-05-27,5,@,KCR,W 7-2,9.0,8,2,2,0,0,1,0,5,1,0,0,36,10
1420,CIN,2025-05-24,5,,CHC,W 6-4,9.0,11,4,4,0,2,2,0,5,0,0,0,38,13
1421,CIN,2025-05-16,5,,CLE,W 5-4,9.0,5,4,4,0,2,3,0,5,0,0,0,34,8
1422,CIN,2025-04-30 (1),5,,STL,L 0-6,9.0,7,6,6,0,4,7,0,5,2,0,0,40,16
1423,CIN,2025-04-08,5,@,SFG,W 1-0,9.0,4,0,0,0,0,1,0,5,0,1,0,32,6
1424,CIN,2025-04-06,5,@,MIL,L 2-8,8.0,8,8,8,0,2,3,0,5,0,0,0,35,11
1425,CIN,2025-04-04,5,@,MIL,L 2-3,8.0,5,3,3,0,1,4,0,5,0,0,0,32,10
1426,CLE,2025-05-04,5,@,TOR,W 5-4,9.0,7,4,2,2,0,3,0,5,2,0,0,40,14
1427,CLE,2025-05-02,5,@,TOR,L 3-5,8.0,9,5,4,1,1,3,0,5,0,0,0,36,12
1428,CLE,2025-04-28,5,,MIN,L 1-11,9.0,17,11,11,0,2,3,0,5,0,0,0,46,20
1429,CLE,2025-04-16,5,@,BAL,L 1-9,8.0,7,9,9,0,3,5,0,5,0,0,2,35,12
1430,CLE,2025-04-06,5,@,LAA,L 2-6,8.0,9,6,4,2,3,1,1,5,1,0,0,36,11
1431,CLE,2025-04-02,5,@,SDP,L 2-5,8.0,10,5,5,0,2,2,0,5,0,0,0,36,12
1432,COL,2025-05-30,5,@,NYM,L 2-4,8.0,9,4,4,0,3,0,0,5,0,0,0,31,9
1433,COL,2025-05-20,5,,PHI,L 4-7,9.0,17,7,7,0,1,2,0,5,0,0,0,46,19
1434,COL,2025-05-14,5,@,TEX,L 3-8,8.0,11,8,8,0,2,7,0,5,0,0,0,41,18
1435,COL,2025-05-08 (2),5,,DET,L 1-11,9.0,14,11,8,3,1,2,0,5,0,0,1,41,16
1436,COL,2025-05-02,5,@,SFG,L 0-4,8.0,7,4,4,0,1,2,0,5,0,0,1,32,9
1437,COL,2025-05-01,5,@,SFG,W 4-3,9.0,9,3,3,0,1,2,0,5,0,0,0,36,11
1438,COL,2025-04-22,5,@,KCR,L 3-4 (11),10.0,9,4,3,1,1,3,2,5,0,0,1,40,12
1439,COL,2025-04-20 (1),5,,WSN,L 2-3,9.0,6,3,1,2,0,4,0,5,0,0,0,36,10
1440,COL,2025-04-15,5,@,LAD,L 2-6,8.0,10,6,6,0,1,8,0,5,2,0,0,42,20
1441,COL,2025-03-31,5,@,PHI,L 1-6,8.0,11,6,6,0,3,1,0,5,0,0,0,34,12
1442,DET,2025-04-28,5,@,HOU,L 5-8,8.0,10,8,4,4,2,2,0,5,0,0,0,35,13
1443,DET,2025-04-26 (2),5,,BAL,W 6-2,9.0,6,2,2,0,0,5,0,5,1,0,0,37,12
1444,DET,2025-04-15,5,@,MIL,L 0-5,8.0,9,5,3,2,1,5,0,5,0,0,0,39,15
1445,DET,2025-04-12,5,@,MIN,W 4-0,9.0,4,0,0,0,0,1,0,5,1,0,0,32,6
1446,MIA,2025-05-27,5,@,SDP,L 6-8,8.0,13,8,6,2,2,4,0,5,0,0,0,43,18
