Rk,Player,SO,"App,Dec",IP,Date,Age,Team,Unnamed: 8,Opp,Result,"App,Dec.1",IP.1,H,R,ER,UER,HR,BB,IBB,SO.1,HBP,BK,WP,BF,BR,Pos
37,Tyler Mahle,5,GS-6,6.0,2025-05-28,30-241,TEX,,TOR,"L, 0-2",GS-6,6.0,4,0,0,0,0,3,0,5,0,0,0,24,7,P
38,Charlie Morton,5,"GS-6, W",6.0,2025-05-26,41-195,BAL,,STL,"W, 5-2","GS-6, W",6.0,4,2,2,0,1,2,0,5,1,0,0,24,7,P
39,Chris Paddack,5,"GS-6, L",5.1,2025-05-26,29-138,MIN,@,TBR,"L, 2-7","GS-6, L",5.1,5,2,2,0,0,0,0,5,0,0,0,21,5,P
40,Drew Rasmussen,5,"GS-6, W",6.0,2025-05-28,29-305,TBR,,MIN,"W, 5-0","GS-6, W",6.0,1,0,0,0,0,1,0,5,1,0,0,20,3,P
41,Joe Ryan,5,"GS-6, W",6.0,2025-05-27,28-356,MIN,@,TBR,"W, 4-2","GS-6, W",6.0,5,1,1,0,0,1,0,5,1,1,0,23,7,P
42,Cristopher Sánchez,5,GS-6,5.2,2025-05-29 (1),28-168,PHI,,ATL,"W, 5-4",GS-6,5.2,7,2,2,0,0,2,0,5,0,0,0,24,9,P
43,Shane Smith,5,GS-4,3.2,2025-05-28,25-054,CHW,@,NYM,"W, 9-4",GS-4,3.2,2,3,3,0,1,5,0,5,1,0,0,19,8,P
44,Randy Vásquez,5,GS-7,6.1,2025-05-26,26-204,SDP,,MIA,"W, 4-3 (11)",GS-7,6.1,6,3,3,0,1,1,0,5,0,0,0,24,7,P
45,Jonathan Cannon,4,"GS-6, L",5.2,2025-05-27,24-312,CHW,@,NYM,"L, 4-6","GS-6, L",5.2,9,5,5,0,2,1,0,4,1,0,0,28,11,P
46,Aaron Civale,4,GS-6,5.0,2025-05-27,29-349,MIL,,BOS,"W, 5-1 (10)",GS-6,5.0,3,1,1,0,0,1,0,4,0,0,0,18,4,P
47,Logan Evans,4,"GS-8, W",8.0,2025-05-27,23-356,SEA,,WSN,"W, 9-1","GS-8, W",8.0,4,1,1,0,1,1,0,4,0,0,0,27,5,P
48,Ryan Gusto,4,GS-4,3.2,2025-05-29,26-079,HOU,,TBR,"L, 3-13",GS-4,3.2,4,2,2,0,0,3,0,4,0,0,0,18,7,P
49,Emerson Hancock,4,GS-6,5.1,2025-05-29,25-363,SEA,,WSN,"L, 3-9 (10)",GS-6,5.1,2,2,2,0,0,3,0,4,0,0,0,19,5,P
50,Jackson Jobe,4,GS-5,4.2,2025-05-28,22-302,DET,,SFG,"W, 4-3",GS-5,4.2,7,3,3,0,1,3,0,4,0,0,0,23,10,P
51,Yusei Kikuchi,4,"GS-5, L",5.0,2025-05-28,33-345,LAA,,NYY,"L, 0-1","GS-5, L",5.0,4,1,1,0,0,5,2,4,0,0,0,23,9,P
52,George Kirby,4,"GS-5, L",5.0,2025-05-28,27-113,SEA,,WSN,"L, 0-9","GS-5, L",5.0,7,6,6,0,3,2,0,4,0,0,0,23,10,P
53,Zack Littell,4,"GS-7, W",6.1,2025-05-26,29-233,TBR,,MIN,"W, 7-2","GS-7, W",6.1,3,1,1,0,0,0,0,4,1,0,0,21,4,P
54,Ryne Nelson,4,"GS-7, W",6.2,2025-05-26,27-114,ARI,,PIT,"W, 5-0","GS-7, W",6.2,4,0,0,0,0,0,0,4,0,0,0,24,4,P
55,Carson Palmquist,4,"GS-5, L",5.0,2025-05-26,24-221,COL,@,CHC,"L, 1-3","GS-5, L",5.0,3,2,2,0,0,3,0,4,0,0,0,21,6,P
56,Mitchell Parker,4,"GS-5, L",4.2,2025-05-27,25-242,WSN,@,SEA,"L, 1-9","GS-5, L",4.2,7,4,4,0,3,1,0,4,0,0,0,21,8,P
57,Clarke Schmidt,4,"GS-6, W",6.0,2025-05-28,29-097,NYY,@,LAA,"W, 1-0","GS-6, W",6.0,4,0,0,0,0,1,0,4,0,0,1,22,5,P
58,Luis Severino,4,GS-6,6.0,2025-05-28,31-097,ATH,@,HOU,"L, 3-5",GS-6,6.0,3,2,1,1,0,2,0,4,1,0,0,25,7,P
59,Joey Wentz,4,"4-7, W",3.2,2025-05-27,27-233,PIT,@,ARI,"W, 9-6","4-7, W",3.2,3,1,1,0,0,0,0,4,0,0,0,14,3,P
60,Kolby Allard,3,GS-4,4.0,2025-05-28,27-288,CLE,,LAD,"W, 7-4",GS-4,4.0,4,2,2,0,0,0,0,3,0,0,0,16,4,P
61,Tyler Anderson,3,"GS-6, L",6.0,2025-05-27,35-148,LAA,,NYY,"L, 2-3","GS-6, L",6.0,5,2,1,1,1,1,0,3,0,0,0,25,7,P
62,Shane Baz,3,GS-6,5.2,2025-05-29,25-346,TBR,@,HOU,"W, 13-3",GS-6,5.2,7,3,3,0,2,0,0,3,0,0,0,24,8,P
63,Zac Gallen,3,"GS-6, L",5.0,2025-05-28,29-298,ARI,,PIT,"L, 1-10","GS-6, L",5.0,6,6,5,1,0,3,0,3,0,0,0,25,10,P
64,Hunter Greene,3,"GS-5, L",5.0,2025-05-28,25-295,CIN,@,KCR,"L, 2-3","GS-5, L",5.0,7,2,2,0,0,1,0,3,0,0,0,21,8,P
65,Clay Holmes,3,GS-6,5.2,2025-05-26,32-060,NYM,,CHW,"W, 2-1",GS-6,5.2,4,1,1,0,0,3,0,3,0,1,0,24,7,P
66,Clayton Kershaw,3,GS-5,5.0,2025-05-28,37-070,LAD,@,CLE,"L, 4-7",GS-5,5.0,6,1,1,0,0,2,0,3,0,0,0,21,8,P
67,Stephen Kolek,3,"GS-6, W",5.1,2025-05-27,28-039,SDP,,MIA,"W, 8-6","GS-6, W",5.1,6,6,6,0,0,2,0,3,0,0,0,25,9,P
68,Pablo López,3,"GS-5, L",5.0,2025-05-28,29-082,MIN,@,TBR,"L, 0-5","GS-5, L",5.0,7,4,4,0,2,2,0,3,0,0,1,23,9,P
69,Miles Mikolas,3,GS-4,4.0,2025-05-28,36-278,STL,@,BAL,"W, 6-4",GS-4,4.0,9,4,4,0,0,0,0,3,0,0,0,21,9,P
70,Keider Montero,3,"GS-5, W",5.0,2025-05-26,24-324,DET,,SFG,"W, 3-1","GS-5, W",5.0,1,0,0,0,0,2,0,3,0,0,0,18,3,P
71,Brady Singer,3,"GS-7, W",7.0,2025-05-27,28-296,CIN,@,KCR,"W, 7-2","GS-7, W",7.0,7,2,2,0,0,1,0,3,0,0,0,29,8,P
72,Tomoyuki Sugano,3,GS-6,5.1,2025-05-27,35-228,BAL,,STL,"L, 4-7",GS-6,5.1,8,3,3,0,1,0,0,3,0,0,0,24,8,P
73,Brandon Waddell,3,4-8,5.0,2025-05-28,30-359,NYM,,CHW,"L, 4-9",4-8,5.0,7,4,4,0,1,1,0,3,0,0,0,23,8,P
74,Gavin Williams,3,"GS-5, L",4.2,2025-05-26,25-304,CLE,,LAD,"L, 2-7","GS-5, L",4.2,4,4,4,0,1,6,0,3,0,1,0,24,10,P
75,Brayan Bello,2,GS-5,4.2,2025-05-28,26-011,BOS,@,MIL,"L, 5-6 (10)",GS-5,4.2,3,2,1,1,1,2,0,2,0,0,0,20,6,P
76,Noah Cameron,2,"GS-7, W",6.1,2025-05-28,25-315,KCR,,CIN,"W, 3-2","GS-7, W",6.1,6,1,1,0,0,2,0,2,0,0,0,27,8,P
77,Andrew Heaney,2,"GS-5, L",5.0,2025-05-26,33-355,PIT,@,ARI,"L, 0-5","GS-5, L",5.0,8,5,5,0,2,3,0,2,0,0,0,25,11,P
78,Michael Lorenzen,2,"GS-5, L",5.0,2025-05-26,33-142,KCR,,CIN,"L, 4-7","GS-5, L",5.0,11,6,6,0,1,3,0,2,0,0,1,29,14,P
79,Nick Martinez,2,"GS-7, W",7.0,2025-05-26,34-294,CIN,@,KCR,"W, 7-4","GS-7, W",7.0,6,3,3,0,1,0,0,2,0,0,0,26,6,P
80,Trevor Williams,2,"GS-6, W",6.0,2025-05-28,33-033,WSN,@,SEA,"W, 9-0","GS-6, W",6.0,3,0,0,0,0,0,0,2,0,0,0,20,3,P
81,Tanner Gordon,1,"GS-5, L",4.2,2025-05-28,27-214,COL,@,CHC,"L, 1-2","GS-5, L",4.2,6,2,2,0,1,0,0,1,0,0,0,19,6,P
82,Kyle Hart,1,GS-5,4.2,2025-05-28,32-186,SDP,,MIA,"L, 8-10",GS-5,4.2,6,5,5,0,2,0,0,1,0,0,0,20,6,P
83,Sandy Alcantara,0,GS-4,4.0,2025-05-28,29-263,MIA,@,SDP,"W, 10-8",GS-4,4.0,7,6,6,0,0,4,0,0,0,0,0,21,11,P
84,Jacob deGrom,0,"GS-6, L",5.1,2025-05-26,36-341,TEX,,TOR,"L, 1-2","GS-6, L",5.1,5,2,2,0,1,2,0,0,0,0,0,23,7,P
