Rk,Team,Date,HR,Unnamed: 4,Opp,Result,PA,AB,R,H,1B,2B,3B,HR.1,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,Unnamed: 3
270,CIN,2025-04-19,2,@,BAL,L 5-9,45,36,5,13,7,4,0,2.0,5,4,0,9,7,0.361,0.489,0.639,1.128,23,2,0,0,0,0,
271,CIN,2025-04-17,2,,SEA,L 7-11 (10),44,37,7,10,7,1,0,2.0,7,1,1,6,7,0.27,0.364,0.459,0.823,17,1,0,0,1,0,
272,CIN,2025-03-30,2,,SFG,L 3-6,32,30,3,5,3,0,0,2.0,3,0,0,2,5,0.167,0.219,0.367,0.585,11,1,0,0,0,0,
273,CIN,2025-03-29,2,,SFG,W 3-2,33,32,3,8,5,1,0,2.0,3,0,0,1,9,0.25,0.273,0.469,0.741,15,0,0,0,0,0,
274,CLE,2025-05-16,2,@,CIN,L 4-5,34,30,4,5,2,1,0,2.0,4,0,0,3,5,0.167,0.242,0.4,0.642,12,1,0,1,0,0,
275,CLE,2025-05-14,2,,MIL,L 5-9,36,33,5,7,5,0,0,2.0,5,0,0,3,9,0.212,0.278,0.394,0.672,13,0,0,0,0,0,
276,CLE,2025-05-03,2,@,TOR,W 5-3,34,31,5,4,2,0,0,2.0,5,0,0,3,16,0.129,0.206,0.323,0.528,10,0,0,0,0,0,
277,CLE,2025-05-02,2,@,TOR,L 3-5,38,36,3,9,5,2,0,2.0,3,1,0,1,6,0.25,0.289,0.472,0.762,17,0,1,0,0,0,
278,CLE,2025-04-29,2,,MIN,W 2-1,31,29,2,6,3,1,0,2.0,2,0,0,2,7,0.207,0.258,0.448,0.706,13,1,0,0,0,0,
279,CLE,2025-04-21,2,,NYY,W 6-4,39,34,6,10,6,2,0,2.0,6,1,0,4,7,0.294,0.385,0.529,0.914,18,0,1,0,0,0,
280,CLE,2025-04-20,2,@,PIT,W 5-4 (10),41,37,5,8,5,1,0,2.0,5,1,0,2,6,0.216,0.268,0.405,0.674,15,0,1,0,1,0,
281,CLE,2025-04-17,2,@,BAL,L 2-6,34,33,2,7,5,0,0,2.0,2,1,0,1,7,0.212,0.235,0.394,0.629,13,1,0,0,0,0,
282,CLE,2025-04-10,2,,CHW,W 6-1,37,34,6,10,7,1,0,2.0,6,1,0,3,6,0.294,0.351,0.5,0.851,17,0,0,0,0,0,
283,CLE,2025-04-05,2,@,LAA,L 4-10,37,33,4,7,5,0,0,2.0,4,0,0,4,7,0.212,0.297,0.394,0.691,13,2,0,0,0,1,
284,CLE,2025-03-31,2,@,SDP,L 2-7,35,33,2,8,4,2,0,2.0,2,0,1,1,8,0.242,0.286,0.485,0.771,16,0,1,0,0,0,
285,COL,2025-05-14,2,@,TEX,L 3-8,36,33,3,7,5,0,0,2.0,3,1,1,2,14,0.212,0.278,0.394,0.672,13,0,1,0,0,0,
286,COL,2025-05-11,2,,SDP,W 9-3,40,35,9,12,6,3,1,2.0,9,0,0,3,9,0.343,0.4,0.657,1.057,23,0,1,0,1,0,
287,COL,2025-05-07,2,,DET,L 6-8 (10),45,40,6,13,7,4,0,2.0,6,1,1,5,8,0.325,0.4,0.575,0.975,23,2,0,0,0,1,
288,COL,2025-04-26,2,,CIN,L 4-6,37,36,4,8,5,1,0,2.0,4,1,0,1,13,0.222,0.243,0.417,0.66,15,0,0,0,0,0,
289,COL,2025-04-25,2,,CIN,L 7-8,43,35,7,10,4,4,0,2.0,7,2,0,7,7,0.286,0.395,0.571,0.967,20,1,0,0,1,0,
290,COL,2025-04-24 (2),2,@,KCR,L 2-6,39,35,2,9,7,0,0,2.0,2,1,0,4,9,0.257,0.333,0.429,0.762,15,1,0,0,0,0,
291,COL,2025-04-24 (1),2,@,KCR,L 4-7,33,30,4,4,2,0,0,2.0,4,0,0,3,7,0.133,0.212,0.333,0.545,10,1,0,0,0,0,
292,COL,2025-04-20 (1),2,,WSN,L 2-3,32,30,2,4,2,0,0,2.0,2,1,0,1,12,0.133,0.188,0.333,0.521,10,1,1,0,0,0,
293,COL,2025-04-16,2,@,LAD,L 7-8,39,38,7,11,7,2,0,2.0,7,0,0,1,16,0.289,0.308,0.5,0.808,19,0,0,0,0,0,
294,COL,2025-04-05,2,,ATH,L 4-7,38,35,4,9,5,2,0,2.0,3,0,0,3,5,0.257,0.316,0.486,0.802,17,1,0,0,0,0,
295,DET,2025-05-20,2,@,STL,W 5-4,34,34,5,7,3,2,0,2.0,5,0,0,0,5,0.206,0.206,0.441,0.647,15,0,0,0,0,0,
296,DET,2025-05-12,2,,BOS,W 14-2,47,43,14,18,14,2,0,2.0,11,0,0,3,4,0.419,0.468,0.605,1.073,26,0,1,0,0,0,
297,DET,2025-05-10,2,,TEX,L 3-10,34,31,3,7,4,0,1,2.0,3,0,0,3,13,0.226,0.294,0.484,0.778,15,3,0,0,0,0,
298,DET,2025-04-30,2,@,HOU,W 7-4,39,36,7,11,9,0,0,2.0,7,0,0,1,7,0.306,0.316,0.472,0.788,17,1,0,0,1,0,
299,DET,2025-04-29,2,@,HOU,L 4-6,39,35,4,8,4,2,0,2.0,4,2,0,3,13,0.229,0.308,0.457,0.765,16,0,1,0,0,0,
300,DET,2025-04-05,2,,CHW,W 7-2,38,32,7,10,5,3,0,2.0,7,0,0,4,8,0.313,0.395,0.594,0.988,19,1,1,0,1,0,
301,DET,2025-03-28,2,@,LAD,L 5-8 (10),44,39,5,10,5,2,1,2.0,5,1,0,5,16,0.256,0.341,0.513,0.854,20,0,0,0,0,1,
302,MIA,2025-05-19,2,,CHC,W 8-7,37,36,8,11,4,3,2,2.0,8,3,1,1,12,0.306,0.324,0.667,0.991,24,0,0,0,0,0,
303,MIA,2025-05-18,2,,TBR,W 5-1,35,31,5,10,6,2,0,2.0,5,0,0,3,4,0.323,0.4,0.581,0.981,18,2,1,0,0,0,
304,MIA,2025-05-13,2,@,CHC,L 4-5,40,37,4,9,6,0,1,2.0,4,1,0,3,9,0.243,0.3,0.459,0.759,17,0,0,0,0,0,
305,MIA,2025-05-03,2,,ATH,W 9-6,38,30,9,5,0,3,0,2.0,8,3,0,6,9,0.167,0.316,0.467,0.782,14,0,1,0,1,0,
306,MIA,2025-04-30,2,@,LAD,L 7-12,38,36,7,9,5,2,0,2.0,7,0,0,2,12,0.25,0.289,0.472,0.762,17,0,0,0,0,0,
307,MIA,2025-04-25,2,@,SEA,W 8-4,37,37,8,10,6,2,0,2.0,8,0,0,0,8,0.27,0.27,0.486,0.757,18,1,0,0,0,0,
308,MIA,2025-04-21,2,,CIN,W 6-3,38,33,6,10,7,1,0,2.0,6,6,1,3,4,0.303,0.395,0.515,0.91,17,0,2,0,0,0,
309,MIA,2025-04-19,2,@,PHI,L 10-11,46,42,10,15,9,4,0,2.0,10,0,0,3,2,0.357,0.413,0.595,1.008,25,1,1,0,0,0,
310,MIA,2025-04-05,2,@,ATL,W 4-0,40,34,4,10,5,3,0,2.0,4,1,0,5,10,0.294,0.385,0.559,0.943,19,0,0,1,0,0,
311,MIA,2025-03-31,2,,NYM,L 4-10,40,34,4,9,6,1,0,2.0,4,0,0,4,12,0.265,0.359,0.471,0.83,16,1,1,1,0,0,
312,HOU,2025-05-29,2,,TBR,L 3-13,35,35,3,8,4,2,0,2.0,3,2,0,0,7,0.229,0.229,0.457,0.686,16,1,0,0,0,0,
313,HOU,2025-05-22,2,,SEA,W 9-2,41,35,9,13,10,0,1,2.0,9,0,0,2,6,0.371,0.439,0.6,1.039,21,1,3,0,1,0,
314,HOU,2025-05-19,2,@,TBR,W 4-3,36,34,4,11,8,1,0,2.0,4,1,3,1,3,0.324,0.361,0.529,0.891,18,2,1,0,0,0,
315,HOU,2025-05-18,2,@,TEX,W 4-3,34,30,4,4,2,0,0,2.0,4,0,0,4,5,0.133,0.235,0.333,0.569,10,1,0,0,0,0,
316,HOU,2025-05-13,2,,KCR,W 2-1,30,29,2,7,4,1,0,2.0,2,0,1,1,10,0.241,0.267,0.483,0.749,14,0,0,0,0,0,
317,HOU,2025-05-03,2,@,CHW,W 8-3,41,39,8,13,7,3,1,2.0,8,1,0,2,9,0.333,0.366,0.615,0.981,24,2,0,0,0,0,
318,HOU,2025-04-30,2,,DET,L 4-7,43,36,4,9,6,1,0,2.0,4,0,0,7,10,0.25,0.372,0.444,0.817,16,0,0,0,0,0,
319,HOU,2025-04-28,2,,DET,W 8-5,35,33,8,10,6,2,0,2.0,8,0,0,2,5,0.303,0.343,0.545,0.888,18,2,0,0,0,0,
320,HOU,2025-04-27,2,@,KCR,W 7-3,39,36,7,9,4,3,0,2.0,7,0,0,3,7,0.25,0.308,0.5,0.808,18,0,0,0,0,0,
321,HOU,2025-04-18,2,,SDP,W 6-4,36,35,6,12,8,2,0,2.0,6,1,0,1,4,0.343,0.361,0.571,0.933,20,1,0,0,0,0,
