game_date,player,line,odds,predicted_SO,edge,bet_recommendation,confidence
2025-05-31,bryan woo,5.5,-152,2.552564655172414,-2.947435344827586,✅ Under,🔥🔥🔥🔥🔥
2025-05-31,casey mize,3.5,-130,2.389206691297209,-1.110793308702791,✅ Under,🔥🔥
2025-05-31,framber valdez,5.5,-152,2.686875,-2.813125,✅ Under,🔥🔥🔥🔥🔥
2025-05-31,jake irvin,3.5,106,2.1353424329501918,-1.364657567049809,✅ Under,🔥🔥
2025-05-31,max fried,4.5,-164,2.6158733579638755,-1.8841266420361245,✅ Under,🔥🔥🔥
2025-05-31,merrill kelly,4.5,-123,1.5966946140025229,-2.903305385997477,✅ Under,🔥🔥🔥🔥🔥
2025-05-31,mitch keller,4.5,107,2.0792313218390808,-2.4207686781609192,✅ Under,🔥🔥🔥🔥
2025-05-31,nick pivetta,6.5,-133,2.668517036124795,-3.831482963875205,✅ Under,🔥🔥🔥🔥🔥
2025-05-31,ryan pepiot,4.5,132,2.552564655172414,-1.947435344827586,✅ Under,🔥🔥🔥
2025-05-31,seth lugo,4.5,-116,2.487564655172414,-2.012435344827586,✅ Under,🔥🔥🔥🔥
2025-05-31,tony gonsolin,4.5,-125,2.4955835028914115,-2.0044164971085885,✅ Under,🔥🔥🔥🔥
2025-05-31,zebby matthews,5.5,-114,2.135183702791461,-3.3648162972085385,✅ Under,🔥🔥🔥🔥🔥
