game_date,player,line,odds,predicted_SO,edge,bet_recommendation,confidence
2025-05-31,antonio senzatela,3.5,132,0.834619812248195,-2.665380187751805,✅ Under,🔥🔥🔥🔥🔥
2025-05-31,bailey ober,5.5,104,0.8992447848045674,-4.6007552151954325,✅ Under,🔥🔥🔥🔥🔥
2025-05-31,bryce miller,4.5,-122,1.2310178607643487,-3.2689821392356517,✅ Under,🔥🔥🔥🔥🔥
2025-05-31,colton gordon,4.5,112,0.9537011107862052,-3.5462988892137948,✅ Under,🔥🔥🔥🔥🔥
2025-05-31,davis martin,3.5,-111,0.8495185574806601,-2.65048144251934,✅ Under,🔥🔥🔥🔥🔥
2025-05-31,dean kremer,4.5,-103,0.9163807995853156,-3.5836192004146845,✅ Under,🔥🔥🔥🔥🔥
2025-05-31,edward cabrera,5.5,-103,0.9551405047255992,-4.544859495274401,✅ Under,🔥🔥🔥🔥🔥
2025-05-31,gunnar hoglund,3.5,-132,0.8495185574806601,-2.65048144251934,✅ Under,🔥🔥🔥🔥🔥
2025-05-31,jesus luzardo,6.5,113,0.91782019352471,-5.58217980647529,✅ Under,🔥🔥🔥🔥🔥
2025-05-31,kodai senga,7.5,-105,0.9551405047255992,-6.544859495274401,✅ Under,🔥🔥🔥🔥🔥
2025-05-31,kyle hendricks,3.5,-102,1.1022776618138808,-2.397722338186119,✅ Under,🔥🔥🔥🔥
2025-05-31,landon knack,4.5,-106,0.9537011107862052,-3.5462988892137948,✅ Under,🔥🔥🔥🔥🔥
2025-05-31,michael wacha,4.5,104,0.8691747016277694,-3.630825298372231,✅ Under,🔥🔥🔥🔥🔥
2025-05-31,nick lodolo,4.5,-130,0.8984205894146708,-3.6015794105853294,✅ Under,🔥🔥🔥🔥🔥
2025-05-31,patrick corbin,4.5,118,0.8984205894146708,-3.6015794105853294,✅ Under,🔥🔥🔥🔥🔥
2025-05-31,robbie ray,6.5,-132,1.2518702393873795,-5.2481297606126205,✅ Under,🔥🔥🔥🔥🔥
2025-05-31,slade cecconi,5.5,-106,0.9551405047255992,-4.544859495274401,✅ Under,🔥🔥🔥🔥🔥
2025-05-31,sonny gray,6.5,122,0.9551405047255992,-5.544859495274401,✅ Under,🔥🔥🔥🔥🔥
2025-05-31,spencer schwellenbach,6.5,122,0.91782019352471,-5.58217980647529,✅ Under,🔥🔥🔥🔥🔥
2025-05-31,tarik skubal,6.5,-135,0.9551405047255992,-5.544859495274401,✅ Under,🔥🔥🔥🔥🔥
2025-05-31,walker buehler,4.5,118,0.8357255968181343,-3.6642744031818655,✅ Under,🔥🔥🔥🔥🔥
2025-05-31,will warren,5.5,141,1.0153329882677709,-4.484667011732229,✅ Under,🔥🔥🔥🔥🔥
2025-05-31,zack littell,3.5,-116,0.8623048178883206,-2.6376951821116794,✅ Under,🔥🔥🔥🔥🔥
