Rk,Team,Date,HR,Unnamed: 4,Opp,Result,PA,AB,R,H,1B,2B,3B,HR.1,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,Unnamed: 3
197,LAA,2025-04-19,2.0,,SFG,L 2-3,33.0,32.0,2.0,6.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,10.0,0.188,0.212,0.375,0.587,12.0,1.0,0.0,0.0,0.0,0.0,
198,LAA,2025-04-12,2.0,@,HOU,W 4-1,37.0,35.0,4.0,8.0,5.0,1.0,0.0,2.0,4.0,1.0,0.0,2.0,10.0,0.229,0.27,0.429,0.699,15.0,0.0,0.0,0.0,0.0,0.0,
199,LAA,2025-04-04,2.0,,CLE,L 6-8,45.0,40.0,6.0,12.0,7.0,3.0,0.0,2.0,6.0,0.0,0.0,4.0,14.0,0.3,0.378,0.525,0.903,21.0,0.0,1.0,0.0,0.0,0.0,
200,LAA,2025-04-02,2.0,@,STL,L 5-12,36.0,33.0,5.0,6.0,3.0,1.0,0.0,2.0,5.0,0.0,0.0,1.0,11.0,0.182,0.25,0.394,0.644,13.0,0.0,2.0,0.0,0.0,0.0,
201,ARI,2025-05-26,2.0,,PIT,W 5-0,37.0,32.0,5.0,10.0,7.0,1.0,0.0,2.0,5.0,1.0,0.0,4.0,3.0,0.313,0.378,0.531,0.91,17.0,1.0,0.0,0.0,1.0,0.0,
202,ARI,2025-05-23,2.0,@,STL,L 3-4,37.0,35.0,3.0,8.0,5.0,1.0,0.0,2.0,3.0,0.0,0.0,2.0,5.0,0.229,0.27,0.429,0.699,15.0,0.0,0.0,0.0,0.0,0.0,
203,ARI,2025-05-20,2.0,@,LAD,L 3-4 (10),40.0,37.0,3.0,7.0,4.0,1.0,0.0,2.0,3.0,1.0,0.0,3.0,13.0,0.189,0.25,0.378,0.628,14.0,0.0,0.0,0.0,0.0,1.0,
204,ARI,2025-05-17,2.0,,COL,L 12-14,49.0,43.0,12.0,15.0,7.0,5.0,1.0,2.0,10.0,2.0,0.0,4.0,7.0,0.349,0.408,0.651,1.059,28.0,0.0,1.0,0.0,1.0,0.0,
205,ARI,2025-05-13,2.0,@,SFG,L 6-10,42.0,37.0,6.0,11.0,8.0,1.0,0.0,2.0,6.0,1.0,0.0,4.0,9.0,0.297,0.381,0.486,0.867,18.0,1.0,1.0,0.0,0.0,0.0,
206,ARI,2025-05-12,2.0,@,SFG,W 2-1,35.0,34.0,2.0,9.0,4.0,3.0,0.0,2.0,2.0,0.0,1.0,1.0,8.0,0.265,0.286,0.529,0.815,18.0,1.0,0.0,0.0,0.0,0.0,
207,ARI,2025-05-08,2.0,,LAD,W 5-3,34.0,31.0,5.0,9.0,5.0,2.0,0.0,2.0,5.0,0.0,0.0,2.0,5.0,0.29,0.353,0.548,0.901,17.0,2.0,1.0,0.0,0.0,1.0,
208,ARI,2025-05-01,2.0,@,NYM,W 4-2,41.0,34.0,4.0,9.0,6.0,1.0,0.0,2.0,4.0,0.0,1.0,5.0,11.0,0.265,0.35,0.471,0.821,16.0,0.0,0.0,0.0,1.0,0.0,
209,ARI,2025-04-23,2.0,,TBR,L 6-7 (11),47.0,40.0,6.0,9.0,5.0,2.0,0.0,2.0,5.0,0.0,0.0,7.0,5.0,0.225,0.34,0.425,0.765,17.0,2.0,0.0,0.0,0.0,0.0,
210,ARI,2025-04-22,2.0,,TBR,W 5-1,33.0,28.0,5.0,7.0,3.0,2.0,0.0,2.0,5.0,1.0,1.0,3.0,3.0,0.25,0.333,0.536,0.869,15.0,1.0,1.0,0.0,1.0,0.0,
211,ARI,2025-04-19,2.0,@,CHC,L 2-6,38.0,32.0,2.0,4.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,5.0,10.0,0.125,0.263,0.313,0.576,10.0,0.0,1.0,0.0,0.0,0.0,
212,ARI,2025-04-18,2.0,@,CHC,L 11-13,46.0,43.0,11.0,15.0,9.0,4.0,0.0,2.0,11.0,0.0,0.0,3.0,9.0,0.349,0.391,0.581,0.973,25.0,0.0,0.0,0.0,0.0,0.0,
213,ARI,2025-04-17,2.0,@,MIA,W 6-4,43.0,32.0,6.0,5.0,2.0,1.0,0.0,2.0,6.0,6.0,0.0,9.0,16.0,0.156,0.349,0.375,0.724,12.0,0.0,1.0,0.0,1.0,0.0,
214,ARI,2025-04-04,2.0,@,WSN,W 6-4,39.0,37.0,6.0,11.0,6.0,3.0,0.0,2.0,6.0,2.0,0.0,2.0,6.0,0.297,0.333,0.541,0.874,20.0,0.0,0.0,0.0,0.0,0.0,
