Rk,Team,Date,SO,Unnamed: 4,Opp,Result,IP,H,R,ER,UER,HR,BB,IBB,SO.1,HBP,BK,WP,BF,BR,Wind Speed,Temp,Unnamed: 6
36,CLE,2025-04-12,15.0,,KCR,W 6-3,9.0,6.0,3.0,3.0,0.0,1.0,2.0,0.0,15.0,0.0,0.0,0.0,35.0,8.0,,,
37,DET,2025-05-13,15.0,,BOS,W 10-9 (11),11.0,14.0,9.0,7.0,2.0,3.0,2.0,0.0,15.0,1.0,0.0,1.0,50.0,17.0,,,
38,DET,2025-04-27,15.0,,BAL,W 7-0,9.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,2.0,0.0,1.0,34.0,8.0,,,
39,MIA,2025-05-25,15.0,@,LAA,W 3-0,9.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,15.0,0.0,0.0,0.0,32.0,6.0,,,
40,HOU,2025-05-22,15.0,,SEA,W 9-2,9.0,10.0,2.0,2.0,0.0,1.0,4.0,0.0,15.0,0.0,0.0,0.0,41.0,14.0,,,
41,HOU,2025-05-09,15.0,,CIN,W 3-0,9.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,15.0,0.0,0.0,0.0,36.0,9.0,,,
42,LAD,2025-05-16,15.0,,LAA,L 2-6,9.0,10.0,6.0,6.0,0.0,1.0,3.0,0.0,15.0,2.0,0.0,0.0,41.0,15.0,,,
43,NYM,2025-04-18,15.0,,STL,W 5-4,9.0,8.0,4.0,4.0,0.0,1.0,0.0,0.0,15.0,0.0,0.0,1.0,35.0,8.0,,,
44,NYY,2025-05-14,15.0,@,SEA,W 3-2,9.0,6.0,2.0,2.0,0.0,0.0,2.0,0.0,15.0,2.0,0.0,0.0,36.0,10.0,,,
45,NYY,2025-04-18,15.0,@,TBR,W 1-0,9.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,15.0,0.0,0.0,1.0,32.0,7.0,,,
46,PHI,2025-03-29,15.0,@,WSN,W 11-6,9.0,12.0,6.0,6.0,0.0,3.0,4.0,0.0,15.0,0.0,0.0,0.0,43.0,16.0,,,
47,SDP,2025-04-11,15.0,,COL,W 8-0,9.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,0.0,0.0,31.0,4.0,,,
48,TBR,2025-04-01,15.0,,PIT,W 7-0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,34.0,9.0,,,
49,WSN,2025-05-16,15.0,@,BAL,W 4-3,9.0,14.0,3.0,2.0,1.0,0.0,4.0,0.0,15.0,1.0,0.0,0.0,45.0,20.0,,,
50,WSN,2025-04-08,15.0,,LAD,W 8-2,9.0,8.0,2.0,2.0,0.0,2.0,5.0,0.0,15.0,0.0,0.0,0.0,41.0,14.0,,,
51,ARI,2025-05-18,14.0,,COL,W 1-0,9.0,3.0,0.0,0.0,0.0,0.0,4.0,1.0,14.0,0.0,0.0,0.0,33.0,7.0,,,
52,ARI,2025-05-16,14.0,,COL,W 8-0,9.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,14.0,0.0,0.0,0.0,33.0,6.0,,,
53,ARI,2025-05-04,14.0,@,PHI,W 11-9 (10),10.0,14.0,9.0,7.0,2.0,3.0,5.0,0.0,14.0,0.0,0.0,1.0,48.0,19.0,,,
54,ARI,2025-04-01,14.0,@,NYY,W 7-5,9.0,5.0,5.0,3.0,2.0,3.0,3.0,0.0,14.0,0.0,0.0,1.0,36.0,9.0,,,
55,ATL,2025-05-30,14.0,,BOS,L 1-5,9.0,11.0,5.0,5.0,0.0,1.0,2.0,0.0,14.0,0.0,0.0,0.0,40.0,13.0,,,
56,ATL,2025-04-09,14.0,,PHI,L 3-4,9.0,9.0,4.0,4.0,0.0,2.0,5.0,0.0,14.0,0.0,0.0,0.0,40.0,14.0,,,
57,BAL,2025-03-29,14.0,@,TOR,W 9-5,9.0,8.0,5.0,5.0,0.0,1.0,5.0,0.0,14.0,0.0,0.0,1.0,40.0,13.0,,,
58,BOS,2025-04-13,14.0,@,CHW,W 3-1,9.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0,32.0,5.0,,,
59,CHW,2025-05-28,14.0,@,NYM,W 9-4,9.0,5.0,4.0,4.0,0.0,1.0,8.0,0.0,14.0,2.0,0.0,0.0,42.0,15.0,,,
60,CLE,2025-04-23,14.0,,NYY,L 1-5,9.0,11.0,5.0,5.0,0.0,0.0,8.0,0.0,14.0,0.0,0.0,1.0,45.0,19.0,,,
61,CLE,2025-04-04,14.0,@,LAA,W 8-6,9.0,12.0,6.0,4.0,2.0,2.0,4.0,0.0,14.0,1.0,0.0,0.0,45.0,17.0,,,
62,DET,2025-05-14,14.0,,BOS,W 6-5,9.0,11.0,5.0,5.0,0.0,1.0,2.0,0.0,14.0,0.0,0.0,0.0,39.0,13.0,,,
63,MIA,2025-04-21,14.0,,CIN,W 6-3,9.0,8.0,3.0,3.0,0.0,1.0,1.0,0.0,14.0,0.0,1.0,1.0,36.0,9.0,,,
64,KCR,2025-05-05,14.0,,CHW,W 3-0,9.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0,14.0,0.0,0.0,0.0,34.0,8.0,,,
