Rk,Team,Date,HR,Unnamed: 4,Opp,Result,PA,AB,R,H,1B,2B,3B,HR.1,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB
30,MIA,2025-05-23,1,@,LAA,"L, 4-7",45,39,4,14,12,1,0,1,4,1,1,6,8,0.359,0.444,0.462,0.906,18,1,0,0,0,0
31,HOU,2025-05-25,1,,SEA,"W, 5-3",40,35,5,13,9,3,0,1,5,0,0,4,8,0.371,0.425,0.543,0.968,19,2,0,0,1,1
32,HOU,2025-05-23,1,,SEA,"L, 3-5",40,36,3,11,9,1,0,1,3,0,1,1,3,0.306,0.35,0.417,0.767,15,0,2,0,1,0
33,LAD,2025-05-25,1,@,NYM,"L, 1-3",35,31,1,6,3,2,0,1,1,2,0,4,7,0.194,0.286,0.355,0.641,11,2,0,0,0,0
34,MIL,2025-05-23,1,@,PIT,"L, 5-6 (10)",46,40,5,11,10,0,0,1,5,2,1,6,16,0.275,0.37,0.35,0.72,14,0,0,0,0,0
35,NYM,2025-05-25,1,,LAD,"W, 3-1",31,30,3,6,4,1,0,1,3,2,1,0,8,0.2,0.226,0.333,0.559,10,0,1,0,0,0
36,NYM,2025-05-23,1,,LAD,"L, 5-7 (13)",52,42,5,7,5,0,1,1,5,0,0,7,12,0.167,0.294,0.286,0.58,12,2,1,1,1,3
37,NYY,2025-05-24,1,@,COL,"W, 13-1",50,43,13,21,13,6,1,1,12,1,0,5,8,0.488,0.52,0.744,1.264,32,4,0,0,2,1
38,NYY,2025-05-23,1,@,COL,"L, 2-3",34,30,2,5,3,0,1,1,2,1,0,4,7,0.167,0.265,0.333,0.598,10,2,0,0,0,0
39,ATH,2025-05-25,1,,PHI,"W, 5-4",37,35,5,11,8,1,1,1,5,0,0,2,11,0.314,0.351,0.486,0.837,17,0,0,0,0,0
40,ATH,2025-05-24,1,,PHI,"L, 6-9 (11)",53,44,6,14,10,3,0,1,5,1,0,9,11,0.318,0.434,0.455,0.889,20,3,0,0,0,3
41,ATH,2025-05-23,1,,PHI,"L, 3-4",37,34,3,7,4,2,0,1,3,0,0,3,13,0.206,0.27,0.353,0.623,12,0,0,0,0,0
42,PHI,2025-05-25,1,@,ATH,"L, 4-5",35,31,4,7,5,1,0,1,3,0,1,3,6,0.226,0.286,0.355,0.641,11,1,0,0,1,0
43,PHI,2025-05-23,1,@,ATH,"W, 4-3",38,35,4,8,6,1,0,1,4,2,0,1,10,0.229,0.289,0.343,0.632,12,0,2,0,0,0
44,PIT,2025-05-25,1,,MIL,"L, 5-6",42,37,5,12,9,1,1,1,5,1,0,4,11,0.324,0.39,0.486,0.877,18,0,0,1,0,1
45,SFG,2025-05-25,1,@,WSN,"W, 3-2",35,32,3,5,2,1,1,1,3,1,0,2,4,0.156,0.229,0.344,0.572,11,1,1,0,0,0
46,STL,2025-05-25,1,,ARI,"W, 4-3",33,31,4,8,6,1,0,1,4,2,0,1,7,0.258,0.273,0.387,0.66,12,0,0,0,1,0
47,TBR,2025-05-24,1,,TOR,"W, 3-1",29,27,3,3,1,1,0,1,3,0,0,2,4,0.111,0.172,0.259,0.432,7,0,0,0,0,0
48,TEX,2025-05-25,1,@,CHW,"W, 5-4",37,32,5,6,3,2,0,1,5,0,1,4,7,0.188,0.297,0.344,0.641,11,1,1,0,0,0
49,TEX,2025-05-24,1,@,CHW,"L, 5-10",40,35,5,7,5,1,0,1,4,2,0,3,8,0.2,0.275,0.314,0.589,11,0,1,0,1,0
50,TOR,2025-05-24,1,@,TBR,"L, 1-3",36,31,1,6,5,0,0,1,1,0,0,5,4,0.194,0.306,0.29,0.596,9,2,0,0,0,0
51,WSN,2025-05-24,1,,SFG,"W, 3-0",32,32,3,8,6,1,0,1,3,0,0,0,8,0.25,0.25,0.375,0.625,12,0,0,0,0,0
52,LAA,2025-05-25,0,,MIA,"L, 0-3",32,29,0,3,2,1,0,0,0,0,1,3,15,0.103,0.188,0.138,0.325,4,0,0,0,0,0
53,LAA,2025-05-24,0,,MIA,"L, 2-6",35,33,2,9,7,2,0,0,2,0,0,1,7,0.273,0.286,0.333,0.619,11,0,0,0,1,0
54,ARI,2025-05-25,0,@,STL,"L, 3-4",39,37,3,10,7,3,0,0,3,0,0,1,7,0.27,0.308,0.351,0.659,13,0,1,0,0,0
55,ATL,2025-05-25,0,,SDP,"L, 3-5",33,30,3,7,4,3,0,0,2,0,0,2,11,0.233,0.273,0.333,0.606,10,2,0,0,1,0
56,BAL,2025-05-24 (2),0,@,BOS,"W, 2-1",36,30,2,8,7,1,0,0,2,1,1,6,7,0.267,0.389,0.3,0.689,9,3,0,0,0,0
57,BAL,2025-05-24 (1),0,@,BOS,"L, 5-6 (10)",42,36,5,7,4,3,0,0,4,2,0,5,12,0.194,0.31,0.278,0.587,10,1,1,0,0,1
58,BAL,2025-05-23 (1),0,@,BOS,"L, 5-19",43,39,5,14,11,3,0,0,5,1,1,3,11,0.359,0.395,0.436,0.831,17,0,0,0,1,0
59,BOS,2025-05-25,0,,BAL,"L, 1-5",37,36,1,10,8,2,0,0,1,1,0,1,8,0.278,0.297,0.333,0.631,12,1,0,0,0,0
60,CHW,2025-05-23,0,,TEX,"W, 4-1",34,30,4,8,8,0,0,0,4,1,0,3,8,0.267,0.324,0.267,0.59,8,1,0,0,1,0
61,CIN,2025-05-25,0,,CHC,"L, 8-11",42,38,8,11,9,1,1,0,7,1,0,3,11,0.289,0.357,0.368,0.726,14,0,1,0,0,0
62,CIN,2025-05-23,0,,CHC,"L, 6-13",44,39,6,13,8,4,1,0,4,0,1,5,6,0.333,0.409,0.487,0.896,19,1,0,0,0,0
63,CLE,2025-05-25,0,@,DET,"L, 0-5",29,28,0,2,1,1,0,0,0,0,0,0,13,0.071,0.103,0.107,0.211,3,1,1,0,0,0
64,CLE,2025-05-23,0,@,DET,"W, 3-1",39,35,3,8,5,1,2,0,3,1,0,3,7,0.229,0.308,0.371,0.679,13,0,1,0,0,0
65,COL,2025-05-24,0,,NYY,"L, 1-13",33,32,1,8,6,1,1,0,1,0,1,1,10,0.25,0.273,0.344,0.616,11,1,0,0,0,0
66,COL,2025-05-23,0,,NYY,"W, 3-2",33,31,3,8,5,3,0,0,3,0,1,2,10,0.258,0.303,0.355,0.658,11,0,0,0,0,0
67,DET,2025-05-24,0,,CLE,"L, 5-7 (10)",40,33,5,5,2,3,0,0,5,0,0,6,10,0.152,0.3,0.242,0.542,8,1,1,0,0,0
68,MIA,2025-05-25,0,@,LAA,"W, 3-0",35,33,3,8,4,4,0,0,3,1,0,1,8,0.242,0.257,0.364,0.621,12,1,0,0,1,0
69,HOU,2025-05-24,0,,SEA,"W, 2-1",34,33,2,11,11,0,0,0,0,0,0,0,5,0.333,0.353,0.333,0.686,11,3,1,0,0,0
70,KCR,2025-05-25,0,@,MIN,"W, 2-1 (10)",38,37,2,9,5,4,0,0,2,0,1,1,6,0.243,0.263,0.351,0.615,13,0,0,0,0,0
71,KCR,2025-05-24,0,@,MIN,"L, 4-5",43,38,4,11,10,1,0,0,4,2,0,4,18,0.289,0.372,0.316,0.688,12,0,1,0,0,0
